ds,y
2020-01-01,410600
2020-01-02,420200
2020-01-03,436000
2020-01-04,443200
2020-01-05,442800
2020-01-06,443000
2020-01-07,432000
2020-01-08,442900
2020-01-09,450200
2020-01-10,374500
